file_a,file_b,label,clone_type,error,string_exact_match,string_similarity_ratio,jaccard_similarity,tfidf_cosine_similarity,markov_similarity,kl_divergence_a_to_b,kl_divergence_b_to_a,lexical_statistical_score,ast_node_type_jaccard,ast_sequence_similarity,ast_node_count_similarity,ast_depth_similarity,tree_edit_distance,tree_edit_similarity,apted_available,apted_tree_edit_distance,apted_tree_edit_similarity,structural_score,semantic_runnable,semantic_reason,semantic_function_a,semantic_function_b,semantic_tested_arity,semantic_total_cases,semantic_both_return_count,semantic_matching_return_count,semantic_successful_overlap,semantic_output_similarity,semantic_score,embedding_model,embedding_feature_count,embedding_cosine_similarity,embedding_score
submission94.py,submission95.py,1,4,,False,0.8423772609819121,1.0,0.9979493068830313,0.98442626633286,0.006224077005882565,0.006308701499491269,0.9950245721010099,1.0,0.9132653061224489,0.8755980861244019,0.8181818181818181,35,0.8325358851674641,no,,,0.8912349868176935,si,ok,main,main,0,1,0,0,0.0,0.0,0.25,tfidf,18,0.9979493068830313,0.9979493068830313
submission97.py,submission98.py,1,0,,False,0.0,0.0,0.0,0.8571428571428572,0.5389438618010829,0.5286038894315448,0.3018258895597297,0.047619047619047616,0.031746031746031744,0.016129032258064502,0.125,61,0.016129032258064502,no,,,0.03721838197644649,no,missing_function,,,,0,0,0,0.0,0.0,0.0,tfidf,0,0.0,0.0
submission97.py,submission100.py,1,0,,False,0.0,0.0,0.0,0.8571428571428572,1.4896890590431762,1.2232653348432434,0.25630102436783064,0.047619047619047616,0.011904761904761904,0.005988023952095856,0.11111111111111116,166,0.005988023952095856,no,,,0.026305721889554254,no,missing_function,,,,0,0,0,0.0,0.0,0.0,tfidf,0,0.0,0.0
submission102.py,submission103.py,1,2,,False,0.5085427135678392,1.0,0.9999999999999998,1.0,0.0,0.0,0.9999999999999998,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,mutate_dna,mutate_dna_sequence,1,10,0,0,0.0,0.0,0.25,tfidf,19,1.0,1.0
submission103.py,submission104.py,1,3,,False,0.8747628083491461,0.76,0.9959407656322552,0.9727736607791188,0.05370422799170906,0.8444923986694819,0.8593538225099238,0.84,0.8888888888888888,0.8191489361702128,1.0,18,0.8085106382978724,no,,,0.8556477541371158,si,ok,mutate_dna_sequence,mutate_dna_sequence_with_logging,1,10,0,0,0.0,0.0,0.25,tfidf,26,0.9954688368474075,0.9954688368474075
submission102.py,submission105.py,1,3,,False,0.8220271348762969,1.0,0.9946204127108434,0.9854727542861659,0.014902915742257251,0.015025815172743213,0.9925319277062015,0.9545454545454546,0.8461538461538461,0.7333333333333334,1.0,37,0.6476190476190475,no,,,0.8067332667332667,si,ok,mutate_dna,mutate_dna_with_map,1,10,0,0,0.0,0.0,0.25,tfidf,19,0.9946204127108433,0.9946204127108433
submission107.py,submission108.py,1,0,,False,0.9395973154362416,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,hello_world,greet,0,1,0,0,0.0,0.0,0.25,tfidf,14,1.0000000000000002,1.0000000000000002
submission107.py,submission109.py,1,3,,False,0.9118541033434651,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,hello_world,hello_world,0,1,0,0,0.0,0.0,0.25,tfidf,14,1.0000000000000002,1.0000000000000002
submission108.py,submission110.py,1,3,,False,0.44931506849315067,1.0,0.9936115093843765,0.9899902818270165,0.016999452785798612,0.01707657293841288,0.9927309927503307,1.0,0.8709677419354839,0.7714285714285715,1.0,8,0.7714285714285715,no,,,0.8648847926267281,si,ok,greet,hello_world,0,1,0,0,0.0,0.0,0.25,tfidf,14,0.9936115093843764,0.9936115093843764
submission112.py,submission113.py,1,2,,False,0.8837465564738292,1.0,0.9999999999999999,1.0,0.0,0.0,0.9999999999999998,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,create_connection,create_connection,1,10,0,0,0.0,0.0,0.25,tfidf,20,1.0000000000000004,1.0000000000000004
submission112.py,submission114.py,1,3,,False,0.8528624933119315,1.0,0.9992283745744436,0.9935567020970748,0.0053538783037022685,0.005796257616712632,0.9973710210122338,1.0,0.903448275862069,0.8238993710691824,1.0,28,0.8238993710691824,no,,,0.8966167859466494,si,ok,create_connection,create_connection,1,10,0,0,0.0,0.0,0.25,tfidf,20,0.9992283745744438,0.9992283745744438
